Time (s),Temperature (°C)
0.79,20.5
2.1,20.5
3.36,20.5
4.68,20.5
5.99,20.5
7.25,20.5
8.56,20.5
9.82,21.0
11.19,22.0
12.5,23.0
13.81,23.5
15.07,24.5
16.54,25.0
17.8,25.5
19.11,26.0
20.42,26.5
21.94,27.0
23.2,27.5
24.51,28.0
25.77,28.5
27.09,28.5
28.7,29.0
29.96,29.0
31.27,29.0
32.59,29.0
33.85,29.0
35.16,29.0
36.68,29.0
37.94,28.5
39.25,28.5
40.56,28.0
41.83,28.0
43.34,28.0
44.65,27.5
45.92,27.5
47.23,27.0
48.54,27.0
50.05,27.0
51.31,26.5
52.62,26.5
53.94,26.5
55.35,26.0
56.66,26.0
57.92,26.0
59.24,26.0
60.55,25.5
61.97,25.5
63.28,25.5
64.54,25.5
65.85,25.5
67.16,25.0
68.42,25.0
69.89,25.0
71.15,25.0
72.46,25.0
73.77,25.0
75.18,24.5
76.5,24.5
77.76,24.5
79.22,24.5
80.53,24.5
81.79,24.5
83.1,24.5
84.56,24.0
85.82,24.0
87.13,24.0
88.39,24.0
89.86,24.0
91.17,24.0
92.43,24.0
93.74,24.0
95.2,24.0
96.46,24.0
97.77,24.0
99.23,24.0
100.49,24.0
101.8,24.0
103.06,24.0
104.52,23.5
105.83,23.5
107.09,23.5
108.4,23.5
109.87,23.5
111.13,23.5
112.44,23.5
113.91,23.5
115.17,23.5
116.48,23.5
117.74,23.5
119.2,23.5
120.52,23.5
121.93,23.5
123.24,23.5
124.5,23.5
125.81,23.5
127.28,23.5
128.53,23.5
129.84,23.5
131.31,23.5
132.57,23.5
134.03,23.0
135.34,23.0
136.6,23.0
137.91,23.0
139.33,23.0
140.64,23.0
141.95,23.0
143.36,23.0
144.67,23.0
146.13,23.0
147.39,23.0
148.7,23.0
150.16,23.0
151.42,23.0
152.88,23.0
154.19,23.0
155.45,23.0
156.91,23.0
158.23,23.0
159.64,23.0
160.95,23.0
162.21,23.0
163.67,23.0
164.98,23.0
166.44,23.0
